Cod_Nc_Standard_Event_CardDescription,"You can't find it anywhere. You seem to have lost its trail.",
Cod_Nc_Standard_Event_CardName,"Fail",
Cod_Nc_Standard_Event_DismantleActions[0].ActionName,"Continue",
Cod_Nc_Standard_Item_CardDescription,"绞肉时常伴随着骨骼碎裂的声音。",
Cod_Nc_Standard_Item_CardName,"绞肉机（启动）",
Cod_Nc_Standard_Location_CardDescription,"A pile of feathers.",
Cod_Nc_Standard_Location_CardName,"Feathers",
Cod_Test_AxeStone_CardDescription,"I can get wood with this.",
Cod_Test_AxeStone_CardName,"Stone Axe",
Cod_Weather_Storm_CardDescription,"狂风暴雨！",我应当远离海岸，并找个躲雨处。
Cod_Weather_Storm_CardName,"风暴",风暴
Cod_Nc_Ruins_Animal_Boar_CardDescription,"附近区域有野猪活动。",
Cod_Nc_Ruins_Animal_Boar_CardName,"",
Cod_Nc_Ruins_Animal_Boar_DismantleActions[0].ActionName,"长矛投掷",
Cod_Nc_Ruins_Animal_Boar_DismantleActions[1].ActionName,"弓箭射击",
Cod_Nc_Ruins_Animal_Boar_DismantleActions[2].ActionName,"枪械射击",
Cod_Nc_Ruins_Animal_Boar_DismantleActions[3].ActionName,"投石索投掷",
Cod_Nc_Ruins_Animal_Boar_DismantleActions[4].ActionName,"无视",
Cod_Nc_Ruins_Animal_Cobra_CardDescription,"附近区域有眼镜蛇活动。",
Cod_Nc_Ruins_Animal_Cobra_CardName,"",
Cod_Nc_Ruins_Animal_Cobra_DismantleActions[0].ActionName,"长矛投掷",
Cod_Nc_Ruins_Animal_Cobra_DismantleActions[1].ActionName,"弓箭射击",
Cod_Nc_Ruins_Animal_Cobra_DismantleActions[2].ActionName,"枪械射击",
Cod_Nc_Ruins_Animal_Cobra_DismantleActions[3].ActionName,"投石索投掷",
Cod_Nc_Ruins_Animal_Cobra_DismantleActions[4].ActionName,"无视",
Cod_Nc_Ruins_Animal_Goat_CardDescription,"附近区域有山羊活动。",
Cod_Nc_Ruins_Animal_Goat_CardName,"",
Cod_Nc_Ruins_Animal_Goat_DismantleActions[0].ActionDescription,"(does not consume stones)",
Cod_Nc_Ruins_Animal_Goat_DismantleActions[0].ActionName,"投掷石头",
Cod_Nc_Ruins_Animal_Goat_DismantleActions[1].ActionName,"长矛投掷",
Cod_Nc_Ruins_Animal_Goat_DismantleActions[2].ActionName,"投掷投石索",
Cod_Nc_Ruins_Animal_Goat_DismantleActions[3].ActionName,"弓箭射击",
Cod_Nc_Ruins_Animal_Goat_DismantleActions[4].ActionName,"枪械射击",
Cod_Nc_Ruins_Animal_Goat_DismantleActions[5].ActionName,"无视",
Cod_Nc_Ruins_Animal_Macaque_CardDescription,"附近区域有猕猴活动。",
Cod_Nc_Ruins_Animal_Macaque_CardName,"",
Cod_Nc_Ruins_Animal_Macaque_DismantleActions[0].ActionName,"长矛投掷",
Cod_Nc_Ruins_Animal_Macaque_DismantleActions[1].ActionName,"弓箭射击",
Cod_Nc_Ruins_Animal_Macaque_DismantleActions[2].ActionName,"枪械射击",
Cod_Nc_Ruins_Animal_Macaque_DismantleActions[3].ActionName,"投石索投掷",
Cod_Nc_Ruins_Animal_Macaque_DismantleActions[4].ActionName,"无视",
Cod_Nc_Ruins_Animal_Monitor_CardDescription,"附近区域有巨蜥活动。",
Cod_Nc_Ruins_Animal_Monitor_CardName,"",
Cod_Nc_Ruins_Animal_Monitor_DismantleActions[0].ActionName,"长矛投掷",
Cod_Nc_Ruins_Animal_Monitor_DismantleActions[1].ActionName,"复合弓射击",
Cod_Nc_Ruins_Animal_Monitor_DismantleActions[2].ActionName,"左轮射击",
Cod_Nc_Ruins_Animal_Monitor_DismantleActions[3].ActionName,"投石索投掷",
Cod_Nc_Ruins_Animal_Monitor_DismantleActions[4].ActionName,"Retreat",
Cod_Nc_Ruins_Animal_Monitor_DismantleActions[5].ActionDescription,"While slowly retreating...",
Cod_Nc_Ruins_Animal_Monitor_DismantleActions[5].ActionName,"Take Picture!",
Cod_Nc_Ruins_Animal_PartridgeFight_CardDescription,"附近区域有禽类生物活动。",
Cod_Nc_Ruins_Animal_PartridgeFight_CardName,"",
Cod_Nc_Ruins_Animal_PartridgeFight_DismantleActions[0].ActionName,"投掷石头",
Cod_Nc_Ruins_Animal_PartridgeFight_DismantleActions[0].ProducedCards[1].CollectionMessages[0],"I missed",
Cod_Nc_Ruins_Animal_PartridgeFight_DismantleActions[1].ActionName,"长矛投掷",
Cod_Nc_Ruins_Animal_PartridgeFight_DismantleActions[2].ActionName,"投掷投石索",
Cod_Nc_Ruins_Animal_PartridgeFight_DismantleActions[3].ActionName,"弓箭射击",
Cod_Nc_Ruins_Animal_PartridgeFight_DismantleActions[4].ActionName,"枪械射击",
Cod_Nc_Ruins_Animal_PartridgeFight_DismantleActions[5].ActionName,"无视",
Cod_Nc_Ruins_Animal_Seagull_CardDescription,"附近区域有海鸥活动。",
Cod_Nc_Ruins_Animal_Seagull_CardName,"",
Cod_Nc_Ruins_Animal_Seagull_DismantleActions[0].ActionName,"石头投掷",
Cod_Nc_Ruins_Animal_Seagull_DismantleActions[0].ProducedCards[1].CollectionMessages[0],"I missed!",
Cod_Nc_Ruins_Animal_Seagull_DismantleActions[1].ActionName,"投掷投石索",
Cod_Nc_Ruins_Animal_Seagull_DismantleActions[1].ProducedCards[1].CollectionMessages[0],"I missed!",
Cod_Nc_Ruins_Animal_Seagull_DismantleActions[2].ActionName,"长矛投掷",
Cod_Nc_Ruins_Animal_Seagull_DismantleActions[2].ProducedCards[1].CollectionMessages[0],"I missed!",
Cod_Nc_Ruins_Animal_Seagull_DismantleActions[3].ActionName,"弓箭射击",
Cod_Nc_Ruins_Animal_Seagull_DismantleActions[4].ActionName,"枪械射击",
Cod_Nc_Ruins_Animal_Seagull_DismantleActions[5].ActionName,"无视",
Cod_Nc_BasicTools_Cutter_CardDescription,"基础性工具，上面贴着塔克工业的标签。",
Cod_Nc_BasicTools_Cutter_CardName,"刀具",
Cod_Nc_BasicTools_Hammer_CardDescription,"基础性工具，上面贴着塔克工业的标签。",
Cod_Nc_BasicTools_Hammer_CardName,"锤子",
Cod_Nc_BasicTools_Wrenches_CardDescription,"基础性工具，上面贴着塔克工业的标签。",
Cod_Nc_BasicTools_Wrenches_CardName,"扳手",
Cod_高级盐田_CardDescription,"更好的盐田，防雨水",
Cod_高级盐田_CardName,"高级盐田",
Cod_高级盐田_DismantleActions[0].ActionName,"Scrape Salt",刮取盐
Cod_高级盐田_DismantleActions[1].ActionName,"Scrape Salt",刮取盐
Cod_高级盐田_DismantleActions[2].ActionDescription,"Collect Salt from Salt Bed",从盐田中收集盐
Cod_高级盐田_DismantleActions[2].ActionName,"Scrape Salt",刮取盐
Cod_高级盐田_FuelCapacity.CardStatName,"Salt",腌制
Cod_高级盐田_SpecialDurability1.CardStatName,"Dissolved Niter",硝石溶液
Cod_高级盐田_UsageDurability.CardStatName,"Water",水
Cod_高级盐田蓝图_BlueprintFinishedLog.LogText,"I made a Salt Bed",我建造了一座盐田。
Cod_高级盐田蓝图_CardDescription,"Ideal for extracting Salt from Seawater.",适用于从海水中提取盐。
Cod_高级盐田蓝图_CardName,"高级盐田",
Cod_高级盐田蓝图_UnlockConditionsDesc,"cordfiber Reservoir Needed",
Cod_Bp_BloodPlage_ScarletPreparation_BlueprintFinishedLog.LogText,"I crafted a bow.",
Cod_Bp_BloodPlage_ScarletPreparation_CardDescription,"一瓶红色制剂。",
Cod_Bp_BloodPlage_ScarletPreparation_CardName,"猩红制剂",
Cod_Bp_BloodPlage_ScarletPreparation_UnlockConditionsDesc,"需要更高的制作等级或者图纸",
Cod_Nc_BloodPlage_ScarletPreparation_CardDescription,"高度密封的瓶口仍散发着淡淡的血腥味。",
Cod_Nc_BloodPlage_ScarletPreparation_CardName,"猩红制剂",
Cod_Nc_BloodPlage_ScarletPreparation_DismantleActions[0].ActionName,"饮用",
Cod_自制柠檬草罐头_CardDescription,"自制香蕉罐头",
Cod_自制柠檬草罐头_CardName,"罐装香蕉片",
Cod_自制柠檬草罐头_DismantleActions[0].ActionName,"Eat",食用
Cod_自制柠檬草罐头蓝图_BlueprintFinishedLog.LogText,"I mad",
Cod_自制柠檬草罐头蓝图_CardDescription,"罐装柠檬草",
Cod_自制柠檬草罐头蓝图_CardName,"捕兽工作",
Cod_自制柠檬草罐头蓝图_UnlockConditionsDesc,"需要更高信任",
Cod_自制肉罐头_CardDescription,"自制香蕉罐头",
Cod_自制肉罐头_CardName,"罐装香蕉片",
Cod_自制肉罐头_DismantleActions[0].ActionName,"Eat",食用
Cod_自制肉罐头蓝图_BlueprintFinishedLog.LogText,"I mad",
Cod_自制肉罐头蓝图_CardDescription,"捕兽工作",
Cod_自制肉罐头蓝图_CardName,"捕兽工作",
Cod_自制肉罐头蓝图_UnlockConditionsDesc,"需要更高信任",
Cod_自制芒果罐头_CardDescription,"自制香蕉罐头",
Cod_自制芒果罐头_CardName,"罐装香蕉片",
Cod_自制芒果罐头_DismantleActions[0].ActionName,"Eat",食用
Cod_自制芒果罐头蓝图_BlueprintFinishedLog.LogText,"I mad",
Cod_自制芒果罐头蓝图_CardDescription,"罐装柠檬草",
Cod_自制芒果罐头蓝图_CardName,"捕兽工作",
Cod_自制芒果罐头蓝图_UnlockConditionsDesc,"需要更高信任",
Cod_自制蘑菇罐头_CardDescription,"无声安静，零散的报纸在空中漂泊，偶尔能听到海鸥的叫声。",
Cod_自制蘑菇罐头_CardName,"港口",
Cod_自制蘑菇罐头_DismantleActions[0].ActionLog.LogText,"我喝了红酒",
Cod_自制蘑菇罐头_DismantleActions[0].ActionName,"搜索",
Cod_自制蘑菇罐头蓝图_BlueprintFinishedLog.LogText,"I mad",
Cod_自制蘑菇罐头蓝图_CardDescription,"捕兽工作",
Cod_自制蘑菇罐头蓝图_CardName,"捕兽工作",
Cod_自制蘑菇罐头蓝图_UnlockConditionsDesc,"需要更高信任",
Cod_自制虾罐头_CardDescription,"自制香蕉罐头",
Cod_自制虾罐头_CardName,"罐装香蕉片",
Cod_自制虾罐头_DismantleActions[0].ActionName,"Eat",食用
